,0,1,date
0,['Thailand has not intervened in baht for trade advantage -c.bank'],https://www.reuters.com/article/thailand-economy-cenbank/thailand-has-not-intervened-in-baht-for-trade-advantage-c-bank-idUSL3N2ET2TF,2020-07-22
1,['Thai June domestic car sales fall 32.6% y/y -industries federation'],https://www.reuters.com/article/thailand-autos/thai-june-domestic-car-sales-fall-32-6-y-y-industries-federation-idUSB7N2BG01Y,2020-07-22
2,"['Australian dollar holds gains, bonds unfazed by budget carnage']",https://www.reuters.com/article/australia-forex/australian-dollar-holds-gains-bonds-unfazed-by-budget-carnage-idUSL3N2ET4MU,2020-07-22
3,['Stocks Drop With Steep China Losses; Dollar Slips: Markets Wrap'],https://www.bloomberg.com/news/articles/2020-07-22/asia-stocks-poised-for-muted-start-dollar-slips-markets-wrap,2020-07-22
4,['Shares drop as China consulate closure fans Sino-U.S. tensions'],https://www.reuters.com/article/us-global-markets/shares-drop-as-china-consulate-closure-fans-sino-u-s-tensions-idUSKCN24N35U,2020-07-22
5,['GLOBAL MARKETS-Shares drop as China consulate closure fans Sino-U.S. tensions'],https://www.reuters.com/article/global-markets/global-markets-shares-drop-as-china-consulate-closure-fans-sino-u-s-tensions-idUSL5N2EU083,2020-07-22
6,['Elon Musk doesn’t want Tesla to be ‘super profitable’ as it soars toward a $300 billion valuation'],https://www.marketwatch.com/story/elon-musk-doesnt-want-tesla-to-be-super-profitable-as-it-soars-toward-a-300-billion-valuation-2020-07-22,2020-07-22
7,"['S.Korea stocks drop on recession worries, fresh U.S.-China row']",https://www.reuters.com/article/southkorea-markets-midday/s-korea-stocks-drop-on-recession-worries-fresh-u-s-china-row-idUSL3N2EU0MX,2020-07-22
8,['India Retailer’s Dollar Bonds Slump After Missed Coupon Payment'],https://www.bloomberg.com/news/articles/2020-07-23/india-retailer-s-dollar-bonds-slump-after-missed-coupon-payment?srnd=markets-vp,2020-07-22
9,['Coronavirus: South Korea in recession as exports at 57-year low'],https://www.bbc.co.uk/news/business-53496522,2020-07-22
10,['ABS-CBN in Talks With Creditors on Debt; Shares Fall 30%'],https://www.bloomberg.com/news/articles/2020-07-23/abs-cbn-in-talks-with-creditors-on-debt-shares-fall-30?srnd=markets-vp,2020-07-22
11,"[""UPDATE 2-Digital Colony's Highline do Brasil submits top bid for Oi's mobile assets""]",https://www.reuters.com/article/oi-sa-ma-digital-colony/update-2-digital-colonys-highline-do-brasil-submits-top-bid-for-ois-mobile-assets-idUSL2N2ET24I,2020-07-22
12,"[""S&P says Australia's 'AAA' rating can absorb growing deficit""]",https://www.reuters.com/article/australia-economy-ratings/sp-says-australias-aaa-rating-can-absorb-growing-deficit-idUSS9N2DS028,2020-07-22
13,['UPDATE 3-S.Korea enters recession as exports plunge by most since 1963'],https://www.reuters.com/article/southkorea-economy-gdp/update-3-s-korea-enters-recession-as-exports-plunge-by-most-since-1963-idUSL3N2ET27Y,2020-07-22
14,"['EMERGING MARKETS-Asian currencies mixed, Indonesian rupiah gains most']",https://www.reuters.com/article/emerging-markets-asia/emerging-markets-asian-currencies-mixed-indonesian-rupiah-gains-most-idUSL3N2EU0L1,2020-07-22
15,['UPDATE 1-Australia forecasts biggest postwar fiscal deficit on virus-driven stimulus'],https://www.reuters.com/article/healthcoronavirus-australia-economy/update-1-australia-forecasts-biggest-postwar-fiscal-deficit-on-virus-driven-stimulus-idUSL3N2EU0DZ,2020-07-22
16,"['China’s Economy Will Grow 2.5% This Year, UBS Says']",https://www.bloomberg.com/news/articles/2020-07-23/china-s-economy-will-now-grow-2-5-this-year-ubs-says?srnd=markets-vp,2020-07-22
17,['INSIGHT-Big data may help BOJ guide economy through pandemic pain'],https://www.reuters.com/article/japan-economy-boj-bigdata/insight-big-data-may-help-boj-guide-economy-through-pandemic-pain-idUSL3N2ET1MU,2020-07-22
18,"['Australian shares steady after sharp losses, gold stocks shine']",https://www.reuters.com/article/australia-stocks-midday/australian-shares-steady-after-sharp-losses-gold-stocks-shine-idUSL3N2EU09Q,2020-07-22
